Category,Description,Cholesterol,Sugar
BUTTER,"BUTTER,WITH SALT",215,0.059999999
BUTTER,"BUTTER,WHIPPED,WITH SALT",219,0.059999999
BUTTER OIL,"BUTTER OIL,ANHYDROUS",256,0
CHEESE,"CHEESE,BLUE",75,0.5
CHEESE,"CHEESE,BRICK",94,0.50999999
CHEESE,"CHEESE,BRIE",100,0.449999988
CHEESE,"CHEESE,CAMEMBERT",72,0.460000008
CHEESE,"CHEESE,CARAWAY",93,0
CHEESE,"CHEESE,CHEDDAR",105,0.519999981
CHEESE,"CHEESE,CHESHIRE",103,0
CHEESE,"CHEESE,COLBY",95,0.519999981
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",17,2.670000076
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",13,2.380000114
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",7,1.850000024
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",10,3.670000076
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",4,2.720000029
CHEESE,"CHEESE,CREAM",110,3.210000038
CHEESE,"CHEESE,EDAM",89,1.429999948
CHEESE,"CHEESE,FETA",89,4.090000153
CHEESE,"CHEESE,FONTINA",116,1.549999952
CHEESE,"CHEESE,GJETOST",94,0
CHEESE,"CHEESE,GOUDA",114,2.220000029
CHEESE,"CHEESE,GRUYERE",110,0.360000014
CHEESE,"CHEESE,LIMBURGER",90,0.49000001
CHEESE,"CHEESE,MONTEREY",89,0.5
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",79,1.029999971
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",89,1.00999999
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",64,1.129999995
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",54,0.600000024
CHEESE,"CHEESE,MUENSTER",96,1.120000005
CHEESE,"CHEESE,NEUFCHATEL",74,3.190000057
CHEESE,"CHEESE,PARMESAN,GRATED",88,0.899999976
